,,,,,,,
,,,,,,,
,,,,,,,
,Brgy,ALANG-ALANG,,,,DATE OF INVENTORY,
,,,,,,,
,Code/ No. ,Species Name,Coordinates (North),Coordinates (East),"Estimated DBH 
(in cm)","Estimated Heigh 
(in feet)",Remarks
,1,mahogany," 10°19'55.19""N","123°56'45.14""E",29,42,
,2,mahogany," 10°19'47.95""N","123°56'48.78""E",31,40,
,3,nem tree," 10°19'47.92""N","123°56'48.79""E",21,38,
,4,nem tree,"10°19'46.24""N","123°56'50.01""E",30,38,
,5,nem tree," 10°19'46.18""N","123°56'50.01""E",21,38,
,6,indian tree,"10°19'46.12""N","123°56'49.93""E",10,12,
,7,indian tree," 10°19'41.28""N","123°56'47.65""E",8,12,
,8,indian tree," 10°19'41.28""N","123°56'47.65""E",10,12,
,9,indian tree," 10°19'41.29""N","123°56'47.65""E",8,12,
,10,indian tree," 10°19'41.28""N","123°56'47.64""E",13,12,
,11,indian tree," 10°19'41.26""N","123°56'47.63""E",9,12,
,12,indian tree," 10°19'41.24""N","123°56'47.62""E",11,12,
,13,indian tree," 10°19'41.20""N","123°56'47.60""E",12,12,
,14,indian tree," 10°19'41.16""N","123°56'47.57""E",14,12,
,15,indian tree,"10°19'41.11""N","123°56'47.55""E",9,12,
,16,dakit," 10°19'41.08""N","123°56'47.55""E",8,5,
,17,dakit,"10°19'41.17""N","123°56'47.62""E",11,8,
,18,indian tree," 10°19'51.77""N","123°56'41.44""E",24,12,
,19,indian tree," 10°19'51.73""N","123°56'41.51""E",23,12,
,20,indian tree," 10°19'51.59""N","123°56'41.78""E",42,3,
,21,mango,"10°19'51.41""N","123°56'41.76""E",15,16,
,22,caimito,"10°19'51.19""N","123°56'42.47""E",74,32,
,23,bayabas," 10°19'46.67""N","123°56'41.69""E",14,14,
,24,nem tree," 10°19'46.69""N","123°56'41.69""E",27,34,
,25,indian tree," 10°19'42.83""N","123°56'39.83""E",25,42,
,26,rubber tree," 10°20'3.11""N","123°56'40.83""E",63,28,
,27,rubber tree," 10°20'3.11""N","123°56'40.83""E",65,28,
,28,acasia,"10°20'27.11""N","123°56'57.37""E",49,45,
,29,acasia," 10°20'27.03""N","123°56'57.46""E",62,45,
,30,acasia," 10°20'26.94""N","123°56'57.65""E",60,45,
,31,acasia," 10°20'26.85""N","123°56'58.03""E",61,32,
,32,acasia," 10°20'26.56""N","123°56'58.85""E",126,55,
,33,dakit," 10°20'25.84""N","123°57'1.32""E",38,12,
,34,awman,"10°20'25.53""N","123°57'4.34""E",4,6,
,35,acasia,"10°20'24.37""N","123°57'4.12""E",66,45,
,36,dakit,"10°20'24.25""N","123°57'4.34""E",13,12,
,37,dakit," 10°20'24.25""N","123°57'4.43""E",12,12,
,38,acasia," 10°20'24.04""N","123°57'4.61""E",60,42,
,39,talisay," 10°20'24.04""N","23°57'4.61""E",16,10,
,40,nem tree," 10°20'22.26""N","123°57'9.55""E",60,42,
,41,narra,"10°20'20.39""N","123°57'14.58""E",29,24,
,42,narra," 10°20'20.24""N","123°57'14.93""E",38,16,
,43,acasia,"10°20'26.29""N","123°57'25.54""E",110,45,
,44,indian tree,"10°20'21.78""N","123°57'20.81""E",58,32,
,45,acasia," 10°20'20.73""N","123°57'15.79""E",60,12,
,46,acasia," 10°20'20.86""N","123°57'15.63""E",59,8,
,47,acasia," 10°20'21.22""N","123°57'14.40""E",82,20,
,48,narra,"10°20'21.83""N","123°57'12.91""E",71,34,
,49,mansinitas,"10°20'22.72""N","123°57'10.94""E",27,18,
,50,mansinitas,"10°20'22.79""N","123°57'10.64""E",11,16,
,51,mansinitas," 10°20'22.69""N","123°57'10.24""E",16,10,
,52,avocado," 10°20'23.07""N","123°57'9.94""E",8,10,
,53,nangka," 10°20'23.00""N","123°57'9.77""E",13,10,
,54,rubber tree," 10°20'22.90""N","123°57'9.74""E",15,8,
,55,dakit," 10°20'22.96""N","123°57'9.66""E",32,10,
,56,narra,"10°20'23.10""N","123°57'9.24""E",64,44,
,57,rubber tree," 10°20'24.04""N","123°57'6.55""E",5,10,
,58, awman tree,"10°20'24.71""N","123°57'4.84""E",7.5,12,
,59,rubber tree," 10°20'24.78""N","123°57'4.49""E",12,12,
,60,mansinitas," 10°20'24.79""N","123°57'4.42""E",7,12,
,61,guava," 10°20'24.77""N","123°57'4.44""E",7,10,
,62,mansinitas," 10°20'24.86""N","123°57'4.37""E",6,12,
,63,narra,"10°20'24.91""N","123°57'4.01""E",26,32,
,64,dol-dol,"10°20'24.91""N","123°57'3.98""E",105,34,
,65,narra," 10°20'25.11""N","123°57'3.44""E",29,26,
,66,narra," 10°20'25.08""N","123°57'3.24""E",31,28,
,67,narra,"10°20'25.92""N","123°57'1.42""E",26,22,
,68,nem tree,"10°20'25.98""N","123°57'1.12""E",27,18,
,69,narra," 10°20'26.06""N","123°57'1.01""E",12,10,
,70,acasia," 10°20'26.06""N","123°57'0.88""E",27,24,
,71,narra,"10°20'26.11""N","123°57'0.79""E",27,46,
,72,narra,"10°20'26.74""N","123°56'59.04""E",30,32,
,73,rubber tree," 10°20'26.68""N","123°56'58.92""E",42,32,
,74,rubber tree," 10°20'26.77""N","123°56'58.68""E",48,32,
,75,narra," 10°20'26.97""N","123°56'58.36""E",15,20,
,76,narra," 10°20'26.97""N","123°56'58.36""E",36,34,
,77,narra," 10°20'26.91""N","123°56'58.29""E",30,34,
,78,rubber tree," 10°20'27.00""N","123°56'57.97""E",84,44,
,79,dakit," 10°20'27.06""N","123°56'57.86""E",52,36,
,80,rubber tree," 10°20'27.07""N","123°56'57.88""E",106,34,
,81,avocado," 10°20'25.43""N","123°56'58.33""E",34,26,
,82,narra," 10°20'25.03""N","123°56'58.43""E",24,36,
,83,talisay,"10°20'21.98""N","123°56'57.20""E",38,26,
,84,rubber tree," 10°20'12.63""N","123°56'53.09""E",37,26,
,85,awman tree,"10°20'11.00""N","123°56'52.45""E",25,34,
,86,rubber tree," 10°20'9.66""N","123°56'51.67""E",11,16,
,87,dakit," 10°20'9.47""N","123°56'51.72""E",6,8,
,88,fire tree," 10°20'9.16""N","123°56'51.69""E",120,22,
,89,talisay," 10°20'8.21""N","123°56'51.27""E",12,6,
,90,nangka," 10°20'15.31""N","123°57'0.72""E",10,12,
,91,talisay," 10°20'15.32""N","123°57'0.82""E",6,8,
,92,rubber tree," 10°20'15.66""N","123°57'0.71""E",34,26,
,93,rubber tree," 10°20'14.91""N","123°57'0.91""E",42,26,
,94,nem tree," 10°20'11.23""N","123°57'6.76""E",25,34,
,95,nem tree," 10°20'1.81""N","123°56'58.96""E",36,34,
,96,nem tree," 10°20'1.75""N","123°56'58.94""E",32,34,
,97,nem tree,"10°20'1.69""N","123°56'58.92""E",44,34,
,98,nem tree," 10°20'1.66""N","123°56'58.91""E",26,34,
,99,nem tree," 10°20'1.57""N","123°56'58.86""E",31,34,
,100,nem tree," 10°20'1.54""N","123°56'58.84""E",28,34,
,101,nem tree," 10°20'1.47""N","123°56'58.86""E",32,34,
,102,nem tree," 10°20'1.42""N","123°56'58.88""E",36,34,
,103,nem tree," 10°20'1.33""N","123°56'58.86""E",27,34,
,104,nem tree," 10°20'1.27""N","123°56'58.83""E",44,34,
,105,mango," 10°20'1.19""N","123°56'58.78""E",19,18,
,106,mango," 10°20'0.87""N","123°56'58.50""E",58,44,
,107,talisay," 10°19'59.01""N","123°56'57.35""E",21,32,
,108,banaba,"10°19'59.40""N","123°56'55.56""E",66,45,
,109,rubber tree," 10°19'58.87""N","123°56'55.43""E",41,20,
,110,dakit," 10°20'2.55""N","123°56'48.79""E",16,10,
